ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.039,-0.035,0.999,0.002,-0.002,-0.001,0.084,0.449,-0.566,982.52,26.55,289.15
-0.038,-0.036,0.999,0.002,-0.002,-0.001,0.088,0.450,-0.567,982.50,26.56,289.32
-0.039,-0.037,1.000,0.002,-0.002,0.000,0.087,0.452,-0.569,982.46,26.55,289.62
-0.039,-0.036,0.999,0.002,-0.002,-0.000,0.088,0.451,-0.560,982.47,26.55,289.57
-0.038,-0.036,0.999,0.002,-0.002,-0.001,0.092,0.447,-0.562,982.46,26.56,289.66
-0.039,-0.035,0.999,0.001,-0.002,-0.000,0.089,0.451,-0.565,982.50,26.55,289.30
-0.038,-0.036,1.001,0.001,-0.002,-0.000,0.084,0.446,-0.559,982.46,26.55,289.63
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.084,0.446,-0.559,982.50,26.56,289.27
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.087,0.448,-0.559,982.48,26.55,289.52
-0.040,-0.036,0.999,0.002,-0.002,0.000,0.086,0.449,-0.566,982.48,26.55,289.50
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.091,0.453,-0.570,982.49,26.55,289.38
-0.038,-0.036,0.999,0.002,-0.002,-0.001,0.089,0.451,-0.570,982.52,26.55,289.16
-0.039,-0.035,1.000,0.001,-0.002,-0.000,0.087,0.454,-0.561,982.52,26.55,289.15
-0.039,-0.035,0.999,0.002,-0.002,-0.000,0.087,0.455,-0.566,982.49,26.55,289.38
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.087,0.455,-0.566,982.45,26.55,289.77
-0.038,-0.037,1.000,0.001,-0.002,-0.000,0.085,0.451,-0.565,982.51,26.55,289.22
-0.040,-0.035,0.999,0.002,-0.002,-0.001,0.090,0.455,-0.563,982.46,26.55,289.62
-0.037,-0.036,1.000,0.001,-0.002,0.000,0.091,0.453,-0.555,982.46,26.55,289.70
-0.039,-0.036,1.000,0.002,-0.002,-0.001,0.088,0.449,-0.562,982.49,26.56,289.41
-0.038,-0.035,0.999,0.002,-0.002,-0.001,0.086,0.457,-0.562,982.51,26.55,289.19
-0.039,-0.036,1.001,0.001,-0.002,-0.001,0.092,0.454,-0.563,982.48,26.55,289.50
-0.038,-0.036,0.998,0.002,-0.002,-0.000,0.092,0.454,-0.563,982.48,26.55,289.51
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.088,0.454,-0.562,982.43,26.55,289.88
-0.039,-0.036,1.001,0.002,-0.002,-0.000,0.089,0.452,-0.557,982.50,26.55,289.31
-0.038,-0.036,1.000,0.002,-0.002,0.000,0.088,0.451,-0.556,982.44,26.55,289.81
-0.039,-0.036,1.000,0.002,-0.002,-0.000,0.087,0.452,-0.562,982.48,26.55,289.50
-0.039,-0.036,0.998,0.001,-0.002,-0.001,0.089,0.455,-0.568,982.47,26.56,289.60
-0.038,-0.035,1.001,0.002,-0.002,-0.000,0.087,0.453,-0.559,982.48,26.55,289.48
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.087,0.453,-0.568,982.43,26.55,289.88
-0.038,-0.035,1.000,0.002,-0.002,-0.001,0.088,0.451,-0.568,982.45,26.56,289.70
-0.037,-0.036,0.999,0.002,-0.002,0.000,0.091,0.453,-0.565,982.40,26.55,290.18
-0.038,-0.036,1.001,0.002,-0.002,-0.000,0.088,0.453,-0.565,982.54,26.55,288.99
-0.039,-0.037,0.999,0.002,-0.002,-0.000,0.092,0.455,-0.556,982.45,26.55,289.76
-0.039,-0.036,1.000,0.002,-0.002,-0.000,0.089,0.455,-0.559,982.48,26.55,289.50
