t,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Alt
2025-08-21 18:14:03.095, 0.074, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -544.0, 192.1, 64.3 ,168.82
2025-08-21 18:14:03.104, 0.073, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -540.5, 192.1, 61.0 ,168.49
2025-08-21 18:14:03.115, 0.072, -0.004, -0.988 ,  0.00, -0.00, 0.00 ,  -541.8, 194.6, 67.9 ,168.76
2025-08-21 18:14:03.125, 0.073, -0.003, -0.989 ,  0.00, -0.00, 0.00 ,  -540.5, 194.9, 64.8 ,167.81
2025-08-21 18:14:03.136, 0.073, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -540.5, 194.9, 71.4 ,168.60
2025-08-21 18:14:03.148, 0.073, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -544.6, 196.4, 71.4 ,168.84
2025-08-21 18:14:03.159, 0.072, -0.004, -0.988 ,  0.00, -0.00, -0.00 ,  -544.3, 194.7, 71.1 ,169.30
2025-08-21 18:14:03.170, 0.072, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -547.1, 193.9, 65.9 ,167.71
2025-08-21 18:14:03.181, 0.074, -0.003, -0.990 ,  0.00, -0.00, 0.00 ,  -546.3, 193.1, 65.1 ,167.98
2025-08-21 18:14:03.192, 0.073, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -546.7, 194.5, 71.4 ,168.23
2025-08-21 18:14:03.269, 0.073, -0.005, -0.990 ,  0.00, -0.00, 0.00 ,  -547.8, 192.1, 70.6 ,168.63
2025-08-21 18:14:03.270, 0.072, -0.006, -0.987 ,  0.00, -0.00, -0.00 ,  -547.8, 194.7, 64.3 ,168.02
2025-08-21 18:14:03.271, 0.074, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -545.6, 194.7, 64.3 ,168.95
2025-08-21 18:14:03.271, 0.072, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -541.7, 191.1, 73.5 ,168.45
2025-08-21 18:14:03.272, 0.072, -0.003, -0.988 ,  0.00, -0.00, 0.00 ,  -545.2, 194.2, 71.8 ,168.24
2025-08-21 18:14:03.273, 0.073, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -544.0, 191.0, 71.0 ,168.64
2025-08-21 18:14:03.274, 0.072, -0.005, -0.990 ,  0.00, -0.00, 0.00 ,  -545.2, 190.5, 70.4 ,168.47
2025-08-21 18:14:03.280, 0.072, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -543.6, 187.7, 62.4 ,168.42
2025-08-21 18:14:03.291, 0.073, -0.003, -0.989 ,  0.00, -0.00, 0.00 ,  -542.9, 188.9, 73.2 ,168.63
2025-08-21 18:14:03.302, 0.072, -0.006, -0.990 ,  0.00, -0.00, 0.00 ,  -542.9, 188.9, 73.2 ,168.30
2025-08-21 18:14:03.377, 0.073, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -542.9, 192.1, 70.1 ,168.56
2025-08-21 18:14:03.378, 0.074, -0.003, -0.991 ,  0.00, -0.00, 0.00 ,  -541.9, 194.7, 67.8 ,168.55
2025-08-21 18:14:03.379, 0.072, -0.004, -0.992 ,  0.00, -0.00, 0.00 ,  -541.8, 188.2, 67.5 ,168.21
2025-08-21 18:14:03.380, 0.072, -0.006, -0.990 ,  0.00, -0.00, 0.00 ,  -547.8, 190.5, 73.9 ,168.30
2025-08-21 18:14:03.380, 0.074, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -543.6, 189.6, 72.9 ,167.80
2025-08-21 18:14:03.381, 0.072, -0.006, -0.991 ,  0.00, -0.00, 0.00 ,  -547.4, 191.5, 78.8 ,168.56
