mx,my,mz
-0.305,-0.073,-0.789
-0.331,-0.068,-0.794
-0.349,-0.057,-0.793
-0.352,-0.057,-0.8
-0.358,-0.06,-0.794
-0.358,-0.06,-0.794
-0.367,-0.063,-0.784
-0.383,-0.068,-0.788
-0.401,-0.06,-0.789
-0.417,-0.052,-0.801
-0.417,-0.052,-0.801
-0.445,-0.037,-0.807
-0.481,-0.014,-0.809
-0.522,0.014,-0.814
-0.522,0.014,-0.814
-0.569,0.05,-0.82
-0.594,0.083,-0.83
-0.626,0.121,-0.835
-0.638,0.147,-0.846
-0.638,0.147,-0.846
-0.652,0.172,-0.846
-0.649,0.197,-0.856
-0.652,0.213,-0.859
-0.659,0.231,-0.853
-0.659,0.231,-0.853
-0.661,0.241,-0.852
-0.661,0.244,-0.849
-0.667,0.254,-0.841
-0.667,0.254,-0.841
-0.673,0.257,-0.836
-0.676,0.263,-0.828
-0.683,0.272,-0.829
-0.681,0.28,-0.824
-0.681,0.28,-0.824
-0.686,0.284,-0.811
-0.691,0.288,-0.807
-0.699,0.308,-0.799
-0.712,0.328,-0.791
-0.712,0.328,-0.791
-0.723,0.367,-0.795
-0.728,0.409,-0.791
-0.723,0.448,-0.785
-0.723,0.448,-0.785
-0.72,0.487,-0.782
-0.718,0.523,-0.78
-0.704,0.542,-0.786
-0.686,0.564,-0.789
-0.686,0.564,-0.789
-0.672,0.571,-0.786
-0.663,0.574,-0.782
-0.651,0.577,-0.774
-0.635,0.582,-0.773
-0.635,0.582,-0.773
-0.633,0.587,-0.77
-0.63,0.584,-0.767
-0.629,0.581,-0.758
-0.629,0.581,-0.758
-0.625,0.575,-0.76
-0.626,0.565,-0.761
-0.623,0.561,-0.747
-0.625,0.549,-0.748
-0.625,0.549,-0.748
-0.623,0.546,-0.743
-0.627,0.552,-0.728
-0.626,0.549,-0.723
-0.619,0.552,-0.716
-0.619,0.552,-0.716
-0.608,0.556,-0.712
-0.608,0.557,-0.704
-0.605,0.564,-0.708
-0.605,0.564,-0.708
-0.602,0.573,-0.704
-0.593,0.578,-0.697
-0.588,0.585,-0.696
-0.579,0.59,-0.695
-0.579,0.59,-0.695
-0.578,0.598,-0.691
-0.567,0.602,-0.689
-0.565,0.609,-0.689
-0.557,0.613,-0.685
-0.557,0.613,-0.685
-0.556,0.623,-0.676
-0.553,0.628,-0.664
-0.548,0.64,-0.668
-0.548,0.64,-0.668
-0.553,0.649,-0.66
-0.548,0.655,-0.647
-0.547,0.666,-0.634
-0.543,0.681,-0.624
-0.543,0.681,-0.624
-0.545,0.685,-0.617
-0.548,0.701,-0.601
-0.548,0.713,-0.59
-0.544,0.723,-0.573
-0.544,0.723,-0.573
-0.547,0.731,-0.564
-0.551,0.737,-0.549
-0.55,0.743,-0.527
-0.55,0.743,-0.527
-0.552,0.746,-0.508
-0.555,0.747,-0.486
-0.554,0.755,-0.468
-0.559,0.765,-0.454
-0.559,0.765,-0.454
-0.562,0.767,-0.434
-0.561,0.766,-0.422
-0.559,0.763,-0.397
-0.555,0.758,-0.377
-0.555,0.758,-0.377
-0.559,0.756,-0.368
-0.556,0.756,-0.348
-0.554,0.752,-0.334
-0.554,0.752,-0.334
-0.554,0.746,-0.323
-0.551,0.747,-0.315
-0.559,0.746,-0.313
-0.566,0.744,-0.31
-0.566,0.744,-0.31
-0.572,0.744,-0.317
-0.574,0.735,-0.312
-0.589,0.732,-0.315
-0.597,0.726,-0.322
-0.597,0.726,-0.322
-0.609,0.72,-0.322
-0.613,0.712,-0.321
-0.632,0.7,-0.32
-0.632,0.7,-0.32
-0.636,0.69,-0.319
-0.646,0.679,-0.314
-0.645,0.665,-0.305
-0.651,0.656,-0.301
-0.651,0.656,-0.301
-0.657,0.642,-0.291
-0.655,0.629,-0.284
-0.661,0.625,-0.268
-0.655,0.627,-0.262
-0.655,0.627,-0.262
-0.653,0.631,-0.264
-0.661,0.634,-0.284
-0.674,0.632,-0.29
-0.674,0.632,-0.29
-0.69,0.623,-0.296
-0.708,0.598,-0.311
-0.724,0.574,-0.32
-0.739,0.547,-0.314
-0.739,0.547,-0.314
-0.751,0.527,-0.309
-0.76,0.488,-0.305
-0.761,0.46,-0.287
-0.76,0.435,-0.27
-0.76,0.435,-0.27
-0.757,0.41,-0.251
-0.744,0.395,-0.233
-0.744,0.376,-0.215
-0.744,0.376,-0.215
-0.73,0.367,-0.199
-0.721,0.356,-0.181
-0.717,0.345,-0.171
-0.71,0.337,-0.157
-0.71,0.337,-0.157
-0.697,0.333,-0.145
-0.69,0.327,-0.143
-0.681,0.332,-0.132
-0.679,0.331,-0.127
-0.679,0.331,-0.127
-0.672,0.333,-0.12
-0.666,0.343,-0.118
-0.666,0.35,-0.111
-0.666,0.35,-0.111
-0.66,0.359,-0.111
-0.658,0.368,-0.115
-0.655,0.383,-0.115
-0.654,0.397,-0.122
-0.654,0.397,-0.122
-0.645,0.415,-0.118
-0.64,0.429,-0.119
-0.631,0.448,-0.118
-0.619,0.455,-0.113
-0.619,0.455,-0.113
-0.614,0.466,-0.109
-0.603,0.471,-0.103
-0.592,0.48,-0.103
-0.592,0.48,-0.104
-0.585,0.492,-0.104
-0.573,0.507,-0.108
-0.566,0.531,-0.111
-0.564,0.552,-0.125
-0.564,0.552,-0.125
-0.552,0.587,-0.128
-0.537,0.616,-0.149
-0.533,0.649,-0.166
-0.526,0.677,-0.189
-0.526,0.677,-0.189
-0.52,0.703,-0.219
-0.527,0.723,-0.251
-0.537,0.739,-0.283
-0.537,0.739,-0.323
-0.548,0.745,-0.323
-0.565,0.738,-0.36
-0.579,0.736,-0.39
-0.595,0.721,-0.423
-0.595,0.721,-0.423
-0.614,0.7,-0.456
-0.625,0.683,-0.486
-0.64,0.656,-0.501
-0.65,0.634,-0.52
-0.65,0.634,-0.52
-0.661,0.612,-0.537
-0.667,0.592,-0.554
-0.669,0.576,-0.573
-0.669,0.576,-0.581
-0.666,0.562,-0.581
-0.669,0.548,-0.592
-0.676,0.533,-0.606
-0.676,0.511,-0.616
-0.676,0.511,-0.616
-0.675,0.492,-0.622
-0.677,0.473,-0.629
-0.679,0.456,-0.636
-0.679,0.434,-0.655
-0.679,0.434,-0.655
-0.663,0.411,-0.666
-0.652,0.387,-0.684
-0.646,0.375,-0.697
-0.646,0.375,-0.698
-0.643,0.356,-0.698
-0.635,0.337,-0.708
-0.633,0.318,-0.705
-0.632,0.299,-0.699
-0.632,0.299,-0.699
-0.633,0.273,-0.706
-0.62,0.253,-0.692
-0.612,0.231,-0.699
-0.611,0.205,-0.696
-0.611,0.205,-0.696
-0.605,0.188,-0.687
-0.598,0.164,-0.685
-0.588,0.145,-0.684
-0.588,0.145,-0.682
-0.58,0.124,-0.682
-0.568,0.101,-0.678
-0.554,0.083,-0.675
-0.541,0.069,-0.67
-0.541,0.069,-0.67
-0.53,0.05,-0.669
-0.521,0.039,-0.665
-0.51,0.026,-0.661
-0.499,0.017,-0.653
-0.499,0.017,-0.653
-0.478,0.006,-0.643
-0.466,-0.006,-0.635
-0.453,-0.025,-0.63
-0.453,-0.025,-0.618
-0.437,-0.035,-0.618
-0.414,-0.047,-0.608
-0.39,-0.063,-0.597
-0.375,-0.073,-0.59
-0.375,-0.073,-0.59
-0.353,-0.085,-0.579
-0.334,-0.095,-0.565
-0.313,-0.103,-0.555
-0.291,-0.11,-0.548
-0.291,-0.11,-0.548
-0.277,-0.108,-0.538
-0.26,-0.113,-0.535
-0.238,-0.117,-0.521
-0.238,-0.116,-0.516
-0.223,-0.116,-0.516
-0.213,-0.126,-0.508
-0.202,-0.122,-0.499
-0.189,-0.121,-0.486
-0.189,-0.121,-0.486
-0.182,-0.12,-0.479
-0.174,-0.122,-0.475
-0.169,-0.119,-0.463
-0.16,-0.121,-0.45
-0.16,-0.121,-0.45
-0.163,-0.116,-0.449
-0.166,-0.117,-0.444
-0.165,-0.124,-0.441
-0.165,-0.12,-0.429
-0.161,-0.12,-0.429
-0.161,-0.12,-0.426
-0.147,-0.121,-0.419
-0.144,-0.119,-0.414
-0.144,-0.119,-0.414
-0.138,-0.116,-0.401
-0.128,-0.112,-0.392
-0.122,-0.114,-0.395
-0.118,-0.116,-0.39
-0.118,-0.116,-0.39
-0.11,-0.104,-0.389
-0.109,-0.106,-0.391
-0.104,-0.102,-0.399
-0.104,-0.1,-0.408
-0.1,-0.1,-0.408
-0.095,-0.102,-0.42
-0.095,-0.101,-0.427
-0.096,-0.098,-0.432
-0.096,-0.098,-0.432
-0.093,-0.1,-0.434
-0.089,-0.105,-0.43
-0.092,-0.1,-0.437
-0.089,-0.104,-0.436
-0.089,-0.104,-0.436
-0.088,-0.109,-0.449
-0.095,-0.113,-0.461
-0.101,-0.116,-0.464
-0.101,-0.115,-0.462
-0.103,-0.115,-0.462
-0.093,-0.109,-0.458
-0.078,-0.099,-0.453
-0.055,-0.088,-0.446
-0.055,-0.088,-0.446
-0.036,-0.073,-0.441
-0.021,-0.057,-0.426
-0.003,-0.039,-0.417
0.017,-0.022,-0.417
0.017,-0.022,-0.417
0.031,-0.001,-0.426
0.057,0.023,-0.434
0.072,0.041,-0.452
0.072,0.064,-0.468
0.086,0.064,-0.468
0.102,0.091,-0.485
0.12,0.127,-0.503
0.126,0.157,-0.522
0.126,0.157,-0.522
0.137,0.183,-0.553
0.133,0.202,-0.567
0.129,0.21,-0.576
0.13,0.22,-0.58
0.13,0.22,-0.58
0.125,0.22,-0.582
0.12,0.212,-0.58
0.113,0.202,-0.585
0.113,0.196,-0.584
0.105,0.196,-0.584
0.098,0.185,-0.583
0.09,0.177,-0.601
0.082,0.172,-0.599
0.082,0.172,-0.599
0.08,0.165,-0.606
0.07,0.163,-0.624
0.057,0.157,-0.643
0.045,0.155,-0.659
0.045,0.155,-0.659
0.015,0.146,-0.679
-0.014,0.131,-0.698
-0.035,0.127,-0.717
-0.035,0.114,-0.725
-0.064,0.114,-0.725
-0.081,0.099,-0.736
-0.105,0.091,-0.732
-0.12,0.081,-0.731
-0.12,0.081,-0.731
-0.133,0.069,-0.734
-0.144,0.062,-0.726
-0.153,0.057,-0.713
-0.153,0.046,-0.705
-0.153,0.046,-0.705
-0.159,0.031,-0.699
-0.164,0.025,-0.689
-0.171,0.018,-0.685
-0.171,0.009,-0.676
-0.185,0.009,-0.676
-0.214,0.001,-0.674
-0.237,-0.004,-0.678
-0.271,-0.005,-0.672
-0.271,-0.005,-0.672
-0.306,-0.015,-0.664
-0.34,-0.008,-0.662
-0.366,-0.014,-0.654
-0.395,-0.017,-0.645
-0.395,-0.017,-0.645
-0.424,-0.004,-0.636
-0.447,-0.007,-0.633
-0.47,0.004,-0.633
-0.478,0.007,-0.632
-0.478,0.007,-0.632
-0.479,0.01,-0.64
-0.474,0.01,-0.645
-0.469,0.017,-0.655
-0.469,0.017,-0.655
-0.469,0.018,-0.667
-0.471,0.028,-0.672
-0.468,0.034,-0.684
-0.467,0.037,-0.687
-0.467,0.037,-0.687
-0.466,0.046,-0.687
-0.467,0.058,-0.697
-0.467,0.06,-0.697
-0.47,0.065,-0.704
-0.47,0.065,-0.704
-0.475,0.066,-0.712
-0.478,0.077,-0.712
-0.476,0.078,-0.711
-0.476,0.078,-0.711
-0.478,0.077,-0.718
-0.489,0.086,-0.714
-0.494,0.086,-0.713
-0.508,0.082,-0.721
-0.508,0.082,-0.721
-0.519,0.089,-0.732
