time,ax,ay,az,gx,gy,gz,mx,my,mz,altitude_m,ral_m
0.95,-0.014,-0.030,1.003,0.002,-0.002,0.000,-584.640,282.660,-950.600,221.34,-0.50000
0.96,-0.014,-0.029,1.004,0.001,-0.002,0.000,-583.240,279.580,-949.340,220.72,-1.12000
0.97,-0.014,-0.030,1.005,0.002,-0.002,0.001,-583.240,279.580,-949.340,221.38,-0.46000
0.98,-0.013,-0.029,1.004,0.002,-0.003,0.000,-581.280,279.440,-949.340,221.78,-0.06000
0.99,-0.013,-0.029,1.003,0.002,-0.002,0.001,-577.220,282.940,-953.260,221.30,-0.54000
1.00,-0.014,-0.030,1.004,0.002,-0.002,0.000,-581.280,280.700,-953.400,221.89,0.05000
1.01,-0.015,-0.030,1.005,0.002,-0.002,0.000,-579.320,279.720,-948.360,221.36,-0.48000
1.02,-0.014,-0.030,1.004,0.002,-0.002,0.000,-576.800,282.240,-955.360,221.49,-0.35000
1.03,-0.013,-0.029,1.004,0.001,-0.002,0.000,-577.360,281.820,-956.060,221.68,-0.16000
1.04,-0.013,-0.028,1.004,0.002,-0.002,0.000,-577.360,281.820,-956.060,221.60,-0.24000
1.05,-0.015,-0.029,1.003,0.002,-0.002,0.000,-576.100,282.100,-947.100,221.23,-0.61000
1.06,-0.014,-0.030,1.004,0.002,-0.002,0.001,-576.380,279.720,-959.280,221.69,-0.15000
1.07,-0.013,-0.029,1.005,0.002,-0.002,0.000,-580.160,281.540,-954.240,221.66,-0.18000
1.08,-0.014,-0.029,1.004,0.002,-0.002,0.000,-576.800,280.140,-943.320,221.65,-0.19000
1.09,-0.014,-0.030,1.004,0.001,-0.002,0.001,-576.800,283.920,-949.760,221.62,-0.22000
1.10,-0.015,-0.029,1.005,0.002,-0.002,0.000,-577.920,281.820,-947.800,221.23,-0.61000
1.11,-0.014,-0.029,1.004,0.001,-0.002,0.000,-577.920,281.820,-947.800,221.48,-0.36000
1.12,-0.015,-0.030,1.005,0.002,-0.002,0.001,-577.080,280.840,-947.800,221.49,-0.35000
1.13,-0.014,-0.030,1.005,0.002,-0.003,0.000,-578.480,276.500,-955.640,221.08,-0.76000
