t,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Alt
2025-09-08 19:49:20.728,-0.008,-0.035,1.003,0.0,-0.0,0.0,-171.4,475.0,-877.7,126.52
2025-09-08 19:49:20.739,-0.009,-0.034,1.005,0.0,-0.0,0.0,-168.1,478.8,-876.3,126.37
2025-09-08 19:49:20.750,-0.008,-0.035,1.004,0.0,-0.0,0.0,-168.1,478.8,-876.3,126.34
2025-09-08 19:49:20.761,-0.009,-0.034,1.004,0.0,-0.0,0.0,-169.0,478.2,-882.6,126.54
2025-09-08 19:49:20.772,-0.007,-0.035,1.005,0.0,-0.0,0.0,-168.3,479.8,-887.5,126.65
2025-09-08 19:49:20.783,-0.008,-0.035,1.002,0.0,-0.0,0.0,-167.3,481.0,-881.0,126.04
2025-09-08 19:49:20.794,-0.009,-0.035,1.004,0.0,-0.0,0.0,-165.6,474.6,-878.1,125.79
2025-09-08 19:49:20.805,-0.009,-0.037,1.003,0.0,-0.0,0.0,-165.3,477.3,-885.6,126.32
2025-09-08 19:49:20.816,-0.008,-0.034,1.003,0.0,-0.0,0.0,-167.6,478.5,-886.2,126.52
2025-09-08 19:49:20.827,-0.008,-0.036,1.004,0.0,-0.0,0.0,-167.6,478.5,-886.2,127.07
2025-09-08 19:49:20.838,-0.008,-0.036,1.003,0.0,-0.0,0.0,-170.0,481.9,-887.3,126.48
2025-09-08 19:49:20.849,-0.008,-0.034,1.004,0.0,-0.0,0.0,-169.5,482.4,-883.3,126.76
2025-09-08 19:49:20.860,-0.008,-0.035,1.003,0.0,-0.0,0.0,-170.7,479.4,-884.4,126.75
2025-09-08 19:49:20.871,-0.007,-0.036,1.005,0.0,-0.0,0.0,-164.9,474.7,-879.9,126.23
2025-09-08 19:49:20.882,-0.008,-0.035,1.003,0.0,-0.0,0.0,-173.3,481.2,-879.8,126.63
2025-09-08 19:49:20.893,-0.008,-0.035,1.004,0.0,-0.0,0.0,-167.2,477.3,-882.0,126.33
2025-09-08 19:49:20.904,-0.008,-0.035,1.004,0.0,-0.0,0.0,-167.2,477.3,-881.2,126.73
2025-09-08 19:49:20.915,-0.008,-0.036,1.004,0.0,-0.0,0.0,-171.2,480.6,-881.2,126.31
2025-09-08 19:49:20.926,-0.008,-0.036,1.004,0.0,-0.0,0.0,-168.7,479.2,-882.7,126.72
2025-09-08 19:49:20.937,-0.008,-0.034,1.004,0.0,-0.0,0.0,-167.7,481.5,-878.8,127.19
2025-09-08 19:49:20.948,-0.008,-0.035,1.004,0.0,-0.0,0.0,-171.4,477.7,-877.7,126.75
2025-09-08 19:49:20.959,-0.007,-0.035,1.004,0.0,-0.0,0.0,-170.4,475.6,-878.1,126.62
2025-09-08 19:49:20.970,-0.008,-0.034,1.004,0.0,-0.0,0.0,-167.3,475.4,-881.0,126.84
