ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.04003,0.03271,0.99871,0.00075,0.00001,0.00044,-0.45446,-0.28983,-1.15442,982.04000,27.13000,293.28000
-0.04006,0.03080,1.00165,0.00075,0.00001,-0.00056,-0.45446,-0.28983,-1.15442,982.04000,27.13000,293.25000
-0.04007,0.03277,1.00072,0.00075,0.00001,0.00044,-0.45751,-0.28483,-1.17554,981.98000,27.13000,293.74000
-0.03905,0.03176,1.00067,0.00075,0.00001,-0.00056,-0.45156,-0.28966,-1.14832,981.98000,27.13000,293.75000
-0.04007,0.03277,1.00072,-0.00025,0.00001,-0.00056,-0.46279,-0.29008,-1.15461,981.97000,27.13000,293.88000
-0.04216,0.03296,1.00576,-0.00025,0.00001,-0.00056,-0.44619,-0.28962,-1.15726,981.95000,27.13000,293.98000
-0.03685,0.02839,0.99052,-0.00025,0.00001,-0.00056,-0.43522,-0.28148,-1.17500,982.04000,27.13000,293.27000
-0.03714,0.03387,1.00470,0.00075,0.00001,0.00044,-0.45170,-0.28450,-1.16334,982.03000,27.13000,293.36000
-0.04111,0.03385,1.00277,-0.00025,0.00001,-0.00056,-0.45170,-0.28450,-1.16334,982.01000,27.13000,293.46000
-0.04402,0.02877,0.99965,-0.00025,0.00001,-0.00056,-0.44112,-0.29504,-1.17231,982.04000,27.13000,293.21000
-0.03612,0.03286,1.00466,0.00075,0.00001,0.00044,-0.44655,-0.29512,-1.16640,982.07000,27.13000,292.98000
-0.04214,0.03490,1.00382,0.00075,0.00001,0.00044,-0.44087,-0.28698,-1.17219,982.01000,27.13000,293.48000
-0.04004,0.03173,0.99968,-0.00025,0.00001,-0.00056,-0.44083,-0.28958,-1.16619,982.01000,27.13000,293.51000
-0.04000,0.02969,0.99862,-0.00025,0.00001,-0.00056,-0.44102,-0.29760,-1.16330,981.98000,27.13000,293.73000
-0.03807,0.03472,0.99975,0.00075,0.00001,-0.00056,-0.44348,-0.28958,-1.16021,981.93000,27.13000,294.19000
-0.04212,0.03289,1.00375,-0.00025,0.00001,0.00044,-0.44348,-0.28958,-1.16021,981.93000,27.13000,294.14000
-0.03802,0.03168,0.99865,0.00075,0.00001,0.00044,-0.44074,-0.29479,-1.15420,982.00000,27.13000,293.61000
-0.04003,0.03271,0.99871,0.00075,0.00001,-0.00056,-0.44561,-0.28660,-1.13306,982.02000,27.13000,293.40000
-0.04110,0.03285,1.00274,0.00075,0.00001,-0.00056,-0.43782,-0.28408,-1.16302,981.98000,27.13000,293.72000
-0.04111,0.03188,1.00371,0.00075,0.00001,0.00044,-0.44621,-0.29227,-1.15428,982.02000,27.13000,293.41000
-0.04099,0.02967,0.99763,-0.00025,0.00001,0.00044,-0.45174,-0.29768,-1.14543,982.02000,27.13000,293.40000
-0.04004,0.03371,0.99875,0.00075,0.00001,-0.00056,-0.45210,-0.31107,-1.14262,981.93000,27.13000,294.16000
-0.04107,0.02984,1.00264,0.00075,0.00001,-0.00056,-0.45210,-0.31107,-1.14262,981.91000,27.13000,294.31000
-0.03901,0.03069,0.99863,0.00075,0.00001,-0.00056,-0.43803,-0.29475,-1.15715,981.98000,27.13000,293.76000
-0.04008,0.03378,1.00075,0.00075,0.00001,0.00044,-0.43840,-0.30289,-1.16332,981.93000,27.13000,294.21000
-0.04011,0.03187,1.00369,-0.00025,0.00001,-0.00056,-0.44339,-0.30268,-1.13627,981.97000,27.13000,293.82000
-0.03909,0.03182,1.00267,-0.00025,0.00001,-0.00056,-0.44905,-0.30028,-1.14541,982.00000,27.13000,293.56000
