t,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,ral
21:25:40:414,-0.001,-0.022,0.981,0.001,-0.002,-0.001,-0.428,0.286,-0.502,192.40,0.090000
21:25:40:415,-0.001,-0.022,0.981,0.001,-0.002,-0.001,-0.431,0.285,-0.507,192.19,-0.210000
21:25:40:416,-0.000,-0.022,0.980,0.001,-0.001,-0.001,-0.426,0.279,-0.503,191.87,-0.320000
21:25:40:417,-0.001,-0.023,0.981,0.000,-0.001,-0.001,-0.429,0.283,-0.509,191.77,-0.100000
21:25:40:418,-0.002,-0.022,0.982,0.001,-0.002,-0.001,-0.429,0.283,-0.509,191.38,-0.390000
21:25:40:419,-0.001,-0.021,0.981,0.001,-0.002,-0.001,-0.428,0.286,-0.508,191.64,0.260000
21:25:40:420,-0.000,-0.022,0.979,0.001,-0.002,-0.001,-0.427,0.287,-0.506,191.59,-0.050000
21:25:40:421,-0.001,-0.023,0.980,0.001,-0.002,-0.001,-0.433,0.283,-0.512,192.11,0.520000
21:25:40:422,0.000,-0.022,0.981,0.001,-0.002,-0.001,-0.430,0.284,-0.508,192.01,-0.100000
21:25:40:423,-0.000,-0.022,0.981,0.000,-0.001,-0.001,-0.431,0.279,-0.509,191.95,-0.060000
21:25:40:424,-0.002,-0.022,0.981,0.001,-0.001,-0.001,-0.434,0.282,-0.516,191.41,-0.540000
21:25:40:425,-0.001,-0.022,0.981,0.001,-0.001,-0.001,-0.434,0.282,-0.516,192.13,0.720000
21:25:40:426,0.001,-0.022,0.981,0.001,-0.001,-0.001,-0.432,0.283,-0.512,192.04,-0.090000
21:25:40:427,-0.001,-0.022,0.979,0.001,-0.001,-0.001,-0.432,0.280,-0.510,192.75,0.710000
21:25:40:428,-0.001,-0.023,0.980,0.001,-0.002,-0.001,-0.433,0.280,-0.505,192.12,-0.630000
21:25:40:430,-0.000,-0.023,0.982,0.001,-0.001,-0.001,-0.435,0.281,-0.503,191.45,-0.670000
21:25:40:431,-0.000,-0.022,0.981,0.001,-0.001,-0.001,-0.432,0.280,-0.505,191.75,0.300000
21:25:40:432,0.001,-0.022,0.980,0.001,-0.001,-0.001,-0.429,0.279,-0.505,191.98,0.230000
21:25:40:433,-0.000,-0.022,0.976,0.001,-0.002,-0.001,-0.429,0.279,-0.505,191.72,-0.260000
21:25:40:434,-0.001,-0.022,0.983,0.000,-0.001,-0.001,-0.426,0.278,-0.507,191.71,-0.010000
21:25:40:435,-0.001,-0.024,0.983,0.001,-0.001,-0.001,-0.426,0.281,-0.508,192.35,0.640000
21:25:40:436,-0.001,-0.023,0.980,0.001,-0.002,-0.001,-0.431,0.279,-0.517,191.54,-0.810000
21:25:40:437,-0.001,-0.024,0.985,0.001,-0.001,-0.001,-0.429,0.281,-0.510,191.26,-0.280000
21:25:40:438,-0.000,-0.022,0.984,0.001,-0.002,-0.001,-0.428,0.278,-0.512,192.28,1.020000
21:25:40:439,0.000,-0.021,0.978,0.001,-0.002,-0.001,-0.427,0.283,-0.509,192.20,-0.080000
21:25:40:440,0.000,-0.022,0.978,0.001,-0.002,-0.001,-0.427,0.283,-0.507,191.80,-0.400000
21:25:40:441,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.428,0.282,-0.507,191.15,-0.650000
21:25:40:442,-0.001,-0.022,0.980,0.001,-0.002,-0.001,-0.430,0.283,-0.509,191.71,0.560000
21:25:40:443,-0.000,-0.022,0.978,0.001,-0.002,-0.001,-0.432,0.281,-0.508,192.46,0.750000
21:25:40:444,-0.001,-0.023,0.981,0.000,-0.002,-0.001,-0.429,0.283,-0.507,192.11,-0.350000
21:25:40:445,-0.001,-0.022,0.984,0.001,-0.002,-0.001,-0.431,0.280,-0.500,191.88,-0.230000
21:25:40:446,-0.000,-0.023,0.981,0.001,-0.002,-0.001,-0.431,0.285,-0.504,191.94,0.060000
21:25:40:447,-0.001,-0.023,0.980,0.000,-0.002,-0.000,-0.431,0.280,-0.504,191.69,-0.250000
21:25:40:448,-0.001,-0.023,0.982,0.001,-0.001,-0.001,-0.431,0.280,-0.504,191.49,-0.200000
21:25:40:448,0.000,-0.022,0.981,0.001,-0.002,-0.001,-0.430,0.281,-0.511,191.37,-0.120000
21:25:40:449,-0.001,-0.022,0.981,0.001,-0.002,-0.001,-0.429,0.279,-0.510,191.85,0.480000
21:25:40:450,0.000,-0.023,0.981,0.001,-0.002,-0.001,-0.433,0.280,-0.506,191.41,-0.440000
21:25:40:451,-0.001,-0.023,0.981,0.001,-0.001,-0.001,-0.433,0.279,-0.512,191.81,0.400000
21:25:40:452,-0.001,-0.023,0.979,0.001,-0.002,-0.001,-0.434,0.278,-0.508,191.55,-0.260000
21:25:40:453,-0.001,-0.022,0.981,0.001,-0.002,-0.001,-0.430,0.280,-0.502,191.47,-0.080000
21:25:40:453,-0.002,-0.024,0.981,0.001,-0.002,-0.001,-0.430,0.280,-0.502,192.25,0.780000
21:25:40:454,-0.000,-0.023,0.982,0.000,-0.002,-0.001,-0.431,0.279,-0.501,192.18,-0.070000
21:25:40:455,-0.001,-0.021,0.980,0.000,-0.002,-0.001,-0.435,0.278,-0.506,191.94,-0.240000
21:25:40:456,-0.001,-0.022,0.981,0.001,-0.001,-0.001,-0.433,0.279,-0.501,192.53,0.590000
21:25:40:457,-0.000,-0.022,0.980,0.001,-0.002,-0.001,-0.432,0.282,-0.505,191.04,-1.490000
21:25:40:458,-0.001,-0.022,0.981,0.001,-0.001,-0.001,-0.432,0.283,-0.507,192.16,1.120000
21:25:40:459,0.000,-0.022,0.981,0.001,-0.001,-0.001,-0.433,0.283,-0.511,192.22,0.060000
21:25:40:459,-0.000,-0.022,0.981,0.001,-0.001,-0.001,-0.433,0.283,-0.511,192.12,-0.100000
21:25:40:460,-0.001,-0.023,0.981,0.001,-0.001,-0.001,-0.433,0.281,-0.506,192.07,-0.050000
21:25:40:461,-0.001,-0.023,0.981,0.001,-0.001,-0.001,-0.433,0.282,-0.506,192.24,0.170000
21:25:40:462,-0.001,-0.023,0.982,0.001,-0.002,-0.001,-0.437,0.281,-0.513,191.82,-0.420000
21:25:40:462,-0.001,-0.024,0.980,0.001,-0.002,-0.001,-0.430,0.284,-0.511,192.20,0.380000
21:25:40:463,0.000,-0.022,0.982,0.001,-0.002,-0.001,-0.433,0.280,-0.510,191.99,-0.210000
21:25:40:464,0.000,-0.022,0.980,0.001,-0.002,-0.000,-0.435,0.283,-0.509,191.73,-0.260000
21:25:40:465,-0.001,-0.022,0.981,0.001,-0.001,-0.001,-0.435,0.283,-0.509,191.37,-0.360000
21:25:40:466,-0.000,-0.024,0.981,0.000,-0.001,-0.001,-0.432,0.282,-0.508,192.09,0.720000
21:25:40:466,-0.001,-0.022,0.983,0.000,-0.001,-0.001,-0.433,0.283,-0.502,191.87,-0.220000
21:25:40:467,-0.000,-0.021,0.981,0.001,-0.001,-0.001,-0.434,0.281,-0.508,192.03,0.160000
21:25:40:468,-0.000,-0.021,0.977,0.001,-0.002,-0.001,-0.435,0.280,-0.512,192.63,0.600000
21:25:40:469,-0.000,-0.023,0.986,0.000,-0.002,-0.001,-0.430,0.279,-0.508,191.77,-0.860000
21:25:40:469,0.001,-0.021,0.968,-0.000,-0.001,-0.001,-0.432,0.282,-0.507,191.72,-0.050000
21:25:40:470,-0.000,-0.023,0.986,0.001,-0.001,-0.001,-0.432,0.282,-0.507,191.65,-0.070000
21:25:40:471,-0.000,-0.022,0.978,0.002,-0.002,-0.001,-0.431,0.277,-0.506,192.23,0.580000
21:25:40:471,-0.001,-0.022,0.983,0.001,-0.001,-0.001,-0.432,0.280,-0.509,191.79,-0.440000
21:25:40:472,-0.001,-0.023,0.979,0.001,-0.002,-0.001,-0.425,0.281,-0.510,192.15,0.360000
21:25:40:473,-0.000,-0.022,0.980,0.001,-0.002,-0.001,-0.431,0.278,-0.509,192.33,0.180000
21:25:40:474,-0.001,-0.021,0.981,0.001,-0.002,-0.001,-0.430,0.282,-0.509,191.32,-1.010000
21:25:40:474,-0.001,-0.022,0.983,0.000,-0.002,-0.001,-0.425,0.283,-0.507,191.67,0.350000
21:25:40:475,-0.000,-0.023,0.981,0.001,-0.002,-0.001,-0.425,0.283,-0.507,191.48,-0.190000
21:25:40:476,0.000,-0.023,0.980,0.001,-0.002,-0.001,-0.429,0.278,-0.509,192.26,0.780000
21:25:40:476,-0.001,-0.022,0.982,0.001,-0.001,-0.001,-0.428,0.277,-0.507,192.04,-0.220000
21:25:40:477,-0.001,-0.022,0.981,0.001,-0.001,-0.001,-0.432,0.282,-0.506,191.65,-0.390000
21:25:40:478,-0.001,-0.023,0.980,0.001,-0.001,-0.000,-0.436,0.282,-0.506,190.82,-0.830000
21:25:40:479,-0.000,-0.022,0.982,0.000,-0.001,-0.001,-0.429,0.277,-0.506,192.15,1.330000
21:25:40:479,-0.000,-0.023,0.980,0.001,-0.002,-0.001,-0.430,0.280,-0.499,192.01,-0.140000
21:25:40:480,-0.001,-0.023,0.982,0.001,-0.002,-0.001,-0.430,0.280,-0.499,191.95,-0.060000
21:25:40:481,-0.000,-0.023,0.980,0.001,-0.001,-0.001,-0.429,0.282,-0.508,191.74,-0.210000
21:25:40:481,-0.001,-0.022,0.976,0.000,-0.002,-0.001,-0.433,0.278,-0.513,191.77,0.030000
21:25:40:482,-0.002,-0.024,0.986,0.000,-0.001,-0.001,-0.433,0.282,-0.502,191.56,-0.210000
21:25:40:483,-0.002,-0.023,0.983,0.001,-0.002,-0.001,-0.431,0.283,-0.506,191.88,0.320000
21:25:40:483,-0.001,-0.022,0.980,0.001,-0.002,-0.001,-0.430,0.282,-0.507,191.78,-0.100000
21:25:40:484,-0.001,-0.021,0.975,0.001,-0.002,-0.001,-0.430,0.278,-0.509,192.30,0.520000
21:25:40:485,0.000,-0.022,0.981,0.000,-0.001,-0.001,-0.430,0.278,-0.509,191.96,-0.340000
21:25:40:485,-0.002,-0.023,0.984,0.001,-0.001,-0.001,-0.429,0.279,-0.506,191.75,-0.210000
21:25:40:486,-0.000,-0.021,0.980,0.001,-0.001,-0.001,-0.428,0.279,-0.506,191.79,0.040000
21:25:40:487,-0.001,-0.021,0.980,0.000,-0.002,-0.001,-0.429,0.281,-0.511,191.82,0.030000
21:25:40:487,0.000,-0.022,0.983,0.001,-0.001,-0.001,-0.430,0.278,-0.503,192.07,0.250000
21:25:40:488,-0.000,-0.023,0.980,0.000,-0.002,-0.001,-0.428,0.279,-0.506,192.35,0.280000
21:25:40:489,-0.000,-0.022,0.980,0.001,-0.002,-0.001,-0.430,0.278,-0.508,192.18,-0.170000
21:25:40:489,-0.001,-0.023,0.981,0.000,-0.002,-0.001,-0.430,0.281,-0.506,192.39,0.210000
21:25:40:490,0.000,-0.021,0.979,0.000,-0.002,-0.001,-0.431,0.281,-0.506,192.10,-0.290000
21:25:40:491,-0.000,-0.023,0.980,0.000,-0.002,-0.001,-0.427,0.279,-0.504,191.38,-0.720000
21:25:40:491,-0.001,-0.023,0.980,0.000,-0.002,-0.001,-0.431,0.279,-0.498,192.27,0.890000
21:25:40:492,-0.001,-0.021,0.984,0.000,-0.002,-0.001,-0.433,0.281,-0.498,191.60,-0.670000
21:25:40:493,-0.001,-0.021,0.982,0.001,-0.002,-0.001,-0.434,0.280,-0.506,191.93,0.330000
21:25:40:493,-0.002,-0.023,0.980,0.002,-0.002,-0.001,-0.429,0.277,-0.508,191.57,-0.360000
21:25:40:494,-0.001,-0.023,0.979,0.001,-0.002,-0.001,-0.433,0.281,-0.498,191.56,-0.010000
21:25:40:495,0.000,-0.022,0.979,0.001,-0.002,-0.001,-0.433,0.281,-0.498,192.85,1.290000
21:25:40:496,-0.001,-0.023,0.981,0.001,-0.002,-0.001,-0.433,0.280,-0.510,192.23,-0.620000
21:25:40:496,-0.000,-0.023,0.979,0.001,-0.002,-0.001,-0.431,0.277,-0.509,192.40,0.170000
21:25:40:497,-0.001,-0.022,0.979,0.001,-0.002,-0.001,-0.435,0.282,-0.512,192.10,-0.300000
21:25:40:498,-0.002,-0.021,0.978,0.001,-0.001,-0.001,-0.429,0.279,-0.508,192.01,-0.090000
21:25:40:498,-0.000,-0.023,0.979,0.000,-0.001,-0.001,-0.434,0.277,-0.510,192.25,0.240000
21:25:40:499,-0.001,-0.023,0.983,-0.000,-0.001,-0.001,-0.433,0.278,-0.507,191.97,-0.280000
21:25:40:500,-0.001,-0.022,0.980,0.000,-0.001,-0.001,-0.433,0.278,-0.507,191.82,-0.150000
21:25:40:500,-0.001,-0.023,0.980,0.000,-0.001,-0.001,-0.429,0.277,-0.504,191.84,0.020000
21:25:40:501,-0.001,-0.023,0.981,0.000,-0.001,-0.001,-0.434,0.282,-0.507,191.56,-0.280000
21:25:40:502,-0.001,-0.022,0.978,0.000,-0.001,-0.001,-0.429,0.280,-0.504,191.91,0.350000
21:25:40:502,-0.000,-0.023,0.981,-0.001,-0.001,-0.001,-0.435,0.279,-0.511,192.13,0.220000
21:25:40:503,-0.002,-0.023,0.981,-0.000,-0.001,-0.001,-0.436,0.283,-0.515,191.54,-0.590000
21:25:40:504,-0.001,-0.022,0.978,-0.000,-0.001,-0.001,-0.432,0.284,-0.515,192.09,0.550000
21:25:40:504,-0.001,-0.022,0.980,-0.001,-0.000,-0.001,-0.432,0.284,-0.515,191.66,-0.430000
21:25:40:505,-0.002,-0.023,0.982,-0.000,-0.000,-0.001,-0.428,0.283,-0.509,192.02,0.360000
21:25:40:506,-0.002,-0.024,0.983,0.000,-0.001,-0.001,-0.430,0.280,-0.507,191.96,-0.060000
21:25:40:507,-0.001,-0.023,0.981,-0.000,-0.001,-0.001,-0.429,0.282,-0.508,191.86,-0.100000
21:25:40:507,-0.001,-0.024,0.978,-0.000,-0.001,-0.001,-0.424,0.285,-0.505,192.43,0.570000
21:25:40:508,-0.001,-0.023,0.980,-0.000,-0.001,-0.001,-0.429,0.279,-0.501,191.67,-0.760000
21:25:40:509,-0.000,-0.025,0.979,-0.000,-0.001,-0.001,-0.427,0.280,-0.513,191.77,0.100000
21:25:40:509,-0.001,-0.023,0.982,-0.002,0.000,-0.001,-0.427,0.280,-0.513,191.54,-0.230000
21:25:40:510,-0.001,-0.023,0.989,-0.001,-0.000,-0.001,-0.431,0.280,-0.507,192.18,0.640000
21:25:40:511,-0.002,-0.022,0.985,0.000,-0.001,-0.001,-0.433,0.280,-0.511,192.17,-0.010000
21:25:40:511,-0.001,-0.022,0.980,0.001,-0.002,-0.001,-0.428,0.277,-0.510,191.89,-0.280000
21:25:40:512,-0.001,-0.023,0.980,0.000,-0.002,-0.001,-0.433,0.283,-0.507,191.70,-0.190000
21:25:40:513,-0.001,-0.023,0.982,0.000,-0.001,-0.001,-0.430,0.281,-0.507,191.60,-0.100000
21:25:40:513,-0.002,-0.022,0.977,0.000,-0.001,-0.001,-0.431,0.278,-0.504,192.58,0.980000
21:25:40:514,-0.001,-0.023,0.979,0.000,-0.000,-0.001,-0.431,0.278,-0.504,191.17,-1.410000
21:25:40:515,-0.001,-0.023,0.982,-0.001,-0.000,-0.001,-0.432,0.282,-0.507,191.41,0.240000
21:25:40:515,-0.001,-0.023,0.981,-0.001,-0.001,-0.001,-0.429,0.281,-0.508,192.66,1.250000
21:25:40:516,-0.002,-0.023,0.981,-0.001,-0.000,-0.001,-0.430,0.282,-0.508,191.64,-1.020000
21:25:40:517,-0.001,-0.023,0.983,-0.000,-0.001,-0.001,-0.427,0.278,-0.506,191.76,0.120000
21:25:40:517,-0.001,-0.023,0.981,0.000,-0.002,-0.001,-0.429,0.280,-0.508,191.87,0.110000
21:25:40:518,-0.001,-0.023,0.979,0.001,-0.002,-0.001,-0.430,0.278,-0.506,191.30,-0.570000
21:25:40:519,-0.001,-0.023,0.980,0.001,-0.001,-0.001,-0.430,0.278,-0.506,191.74,0.440000
21:25:40:520,-0.001,-0.023,0.981,0.001,-0.002,-0.001,-0.427,0.283,-0.504,191.59,-0.150000
21:25:40:520,-0.001,-0.022,0.981,0.000,-0.002,-0.001,-0.427,0.277,-0.511,191.26,-0.330000
21:25:40:521,-0.001,-0.023,0.981,0.000,-0.002,-0.001,-0.429,0.279,-0.508,192.19,0.930000
21:25:40:522,-0.002,-0.022,0.981,0.000,-0.001,-0.001,-0.430,0.278,-0.505,191.69,-0.500000
21:25:40:522,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.429,0.276,-0.509,192.14,0.450000
21:25:40:523,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.427,0.273,-0.509,192.16,0.020000
21:25:40:524,-0.001,-0.024,0.982,0.001,-0.002,-0.001,-0.427,0.273,-0.509,191.56,-0.600000
21:25:40:524,-0.001,-0.023,0.980,0.001,-0.001,-0.001,-0.432,0.279,-0.514,192.06,0.500000
21:25:40:525,-0.002,-0.022,0.981,0.001,-0.002,-0.001,-0.430,0.275,-0.509,192.24,0.180000
21:25:40:526,-0.001,-0.024,0.982,0.001,-0.001,-0.001,-0.428,0.275,-0.509,191.75,-0.490000
21:25:40:526,-0.001,-0.022,0.981,0.001,-0.002,-0.001,-0.431,0.276,-0.511,192.00,0.250000
21:25:40:527,-0.002,-0.023,0.979,0.001,-0.002,-0.001,-0.431,0.273,-0.508,192.26,0.260000
21:25:40:528,-0.002,-0.024,0.979,0.001,-0.002,-0.001,-0.432,0.278,-0.508,191.60,-0.660000
21:25:40:528,-0.001,-0.023,0.981,0.001,-0.002,-0.001,-0.432,0.278,-0.503,192.07,0.470000
21:25:40:529,-0.001,-0.024,0.981,0.001,-0.002,-0.001,-0.426,0.278,-0.503,191.74,-0.330000
21:25:40:530,-0.001,-0.023,0.980,0.001,-0.001,-0.001,-0.432,0.278,-0.502,192.04,0.300000
21:25:40:530,-0.001,-0.023,0.981,0.000,-0.002,-0.001,-0.428,0.280,-0.510,192.32,0.280000
21:25:40:531,-0.001,-0.023,0.982,0.000,-0.002,-0.001,-0.428,0.282,-0.509,191.60,-0.720000
21:25:40:532,-0.000,-0.023,0.980,0.001,-0.001,-0.001,-0.435,0.278,-0.509,191.85,0.250000
21:25:40:532,-0.002,-0.023,0.980,0.001,-0.001,-0.001,-0.431,0.276,-0.516,191.88,0.030000
21:25:40:533,-0.001,-0.023,0.981,0.001,-0.001,-0.001,-0.431,0.276,-0.511,191.66,-0.220000
21:25:40:534,-0.001,-0.023,0.981,0.001,-0.001,-0.000,-0.435,0.276,-0.511,191.84,0.180000
21:25:40:535,-0.001,-0.021,0.981,0.001,-0.001,-0.000,-0.429,0.282,-0.509,191.76,-0.080000
21:25:40:535,-0.001,-0.023,0.981,0.001,-0.002,-0.001,-0.431,0.279,-0.508,191.88,0.120000
21:25:40:536,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.432,0.279,-0.507,191.46,-0.420000
21:25:40:537,-0.001,-0.023,0.980,0.001,-0.002,-0.001,-0.432,0.280,-0.508,191.89,0.430000
21:25:40:537,-0.001,-0.024,0.980,0.001,-0.001,-0.001,-0.431,0.285,-0.512,192.44,0.550000
21:25:40:538,-0.001,-0.023,0.981,0.001,-0.001,-0.001,-0.435,0.281,-0.506,192.79,0.350000
21:25:40:539,-0.002,-0.023,0.980,0.001,-0.002,-0.001,-0.435,0.281,-0.506,192.10,-0.690000
21:25:40:539,-0.002,-0.023,0.982,0.001,-0.002,-0.000,-0.431,0.282,-0.513,191.71,-0.390000
21:25:40:540,-0.001,-0.023,0.981,0.001,-0.001,-0.001,-0.433,0.278,-0.507,191.74,0.030000
21:25:40:541,-0.001,-0.023,0.980,0.001,-0.001,-0.001,-0.432,0.282,-0.505,191.73,-0.010000
21:25:40:541,-0.002,-0.024,0.979,0.001,-0.002,-0.001,-0.431,0.282,-0.508,191.70,-0.030000
21:25:40:542,-0.002,-0.022,0.980,0.001,-0.002,-0.001,-0.428,0.282,-0.510,192.25,0.550000
21:25:40:543,-0.002,-0.023,0.981,0.001,-0.002,-0.001,-0.429,0.284,-0.506,191.99,-0.260000
21:25:40:543,-0.001,-0.023,0.981,0.001,-0.002,-0.001,-0.429,0.284,-0.506,191.93,-0.060000
21:25:40:544,-0.001,-0.023,0.982,0.001,-0.002,-0.000,-0.431,0.284,-0.510,191.83,-0.100000
21:25:40:545,-0.002,-0.023,0.981,0.000,-0.002,-0.001,-0.431,0.282,-0.513,192.15,0.320000
21:25:40:545,-0.002,-0.022,0.981,0.001,-0.002,-0.001,-0.430,0.287,-0.519,191.81,-0.340000
21:25:40:546,-0.002,-0.022,0.980,0.001,-0.001,-0.000,-0.429,0.281,-0.509,191.87,0.060000
21:25:40:547,-0.001,-0.022,0.981,0.001,-0.002,-0.001,-0.429,0.282,-0.508,191.60,-0.270000
21:25:40:547,-0.002,-0.024,0.981,0.001,-0.002,-0.001,-0.429,0.284,-0.512,191.84,0.240000
21:25:40:548,-0.001,-0.023,0.980,0.001,-0.002,-0.001,-0.429,0.284,-0.512,192.46,0.620000
21:25:40:549,-0.000,-0.023,0.980,0.001,-0.002,-0.001,-0.429,0.285,-0.503,192.10,-0.360000
21:25:40:549,-0.000,-0.023,0.981,0.001,-0.002,-0.001,-0.429,0.283,-0.505,191.88,-0.220000
21:25:40:550,-0.002,-0.022,0.980,0.001,-0.001,-0.001,-0.430,0.284,-0.509,192.23,0.350000
21:25:40:551,-0.001,-0.022,0.981,0.000,-0.002,-0.001,-0.425,0.285,-0.507,192.39,0.160000
21:25:40:552,-0.002,-0.023,0.981,0.001,-0.001,-0.001,-0.429,0.286,-0.503,191.24,-1.150000
21:25:40:552,-0.000,-0.023,0.981,0.001,-0.002,-0.001,-0.427,0.288,-0.503,191.80,0.560000
21:25:40:553,-0.001,-0.023,0.981,0.001,-0.002,-0.001,-0.427,0.288,-0.503,191.94,0.140000
21:25:40:554,-0.001,-0.023,0.981,0.001,-0.001,-0.001,-0.428,0.285,-0.502,192.21,0.270000
21:25:40:554,-0.001,-0.023,0.981,0.001,-0.001,-0.001,-0.429,0.284,-0.501,192.26,0.050000
21:25:40:555,-0.002,-0.023,0.980,0.001,-0.001,-0.001,-0.429,0.281,-0.511,191.65,-0.610000
21:25:40:556,-0.001,-0.022,0.980,0.001,-0.002,-0.001,-0.429,0.286,-0.502,192.09,0.440000
21:25:40:556,-0.001,-0.022,0.980,0.001,-0.001,-0.001,-0.432,0.284,-0.504,191.66,-0.430000
21:25:40:557,-0.001,-0.021,0.980,0.000,-0.002,-0.001,-0.432,0.280,-0.502,192.05,0.390000
21:25:40:558,-0.001,-0.023,0.981,0.000,-0.001,-0.001,-0.432,0.280,-0.502,192.13,0.080000
21:25:40:558,-0.000,-0.022,0.981,0.000,-0.001,-0.001,-0.433,0.284,-0.505,191.84,-0.290000
21:25:40:559,-0.002,-0.023,0.982,-0.000,-0.001,-0.001,-0.433,0.280,-0.510,191.75,-0.090000
21:25:40:560,-0.001,-0.022,0.982,0.000,-0.002,-0.001,-0.428,0.283,-0.508,192.02,0.270000
21:25:40:560,-0.002,-0.023,0.980,0.001,-0.002,-0.001,-0.434,0.287,-0.504,191.50,-0.520000
21:25:40:561,-0.001,-0.023,0.981,0.001,-0.002,-0.001,-0.430,0.286,-0.506,192.12,0.620000
21:25:40:562,-0.001,-0.022,0.981,0.001,-0.001,-0.001,-0.432,0.287,-0.506,191.45,-0.670000
21:25:40:562,-0.000,-0.022,0.979,0.001,-0.002,-0.000,-0.432,0.287,-0.506,192.03,0.580000
21:25:40:563,-0.001,-0.024,0.978,0.001,-0.002,-0.001,-0.432,0.286,-0.503,192.19,0.160000
21:25:40:564,-0.002,-0.022,0.981,0.000,-0.001,-0.001,-0.432,0.283,-0.508,191.77,-0.420000
21:25:40:564,-0.001,-0.024,0.981,0.001,-0.002,-0.001,-0.436,0.279,-0.507,192.05,0.280000
21:25:40:565,-0.001,-0.024,0.980,0.001,-0.002,-0.001,-0.432,0.278,-0.506,192.08,0.030000
21:25:40:566,-0.001,-0.022,0.980,0.001,-0.002,-0.001,-0.433,0.281,-0.506,191.48,-0.600000
21:25:40:567,-0.001,-0.023,0.981,0.001,-0.002,-0.001,-0.430,0.281,-0.511,192.30,0.820000
