t,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,ral
21:47:45:451,-0.003,-0.023,0.981,0.001,-0.001,-0.001,-0.431,0.283,-0.516,191.94,-0.130000
21:47:45:452,-0.003,-0.022,0.980,0.001,-0.001,-0.001,-0.431,0.283,-0.516,191.91,-0.030000
21:47:45:453,-0.002,-0.023,0.983,0.001,-0.001,-0.001,-0.430,0.280,-0.513,191.81,-0.100000
21:47:45:454,-0.003,-0.024,0.982,0.001,-0.002,-0.001,-0.435,0.281,-0.516,191.84,0.030000
21:47:45:455,-0.002,-0.024,0.982,0.001,-0.002,-0.001,-0.432,0.281,-0.518,192.43,0.590000
21:47:45:456,-0.003,-0.023,0.982,0.001,-0.001,-0.001,-0.435,0.285,-0.510,192.00,-0.430000
21:47:45:457,-0.003,-0.023,0.982,0.001,-0.002,-0.001,-0.431,0.280,-0.516,191.97,-0.030000
21:47:45:458,-0.003,-0.022,0.982,0.001,-0.002,-0.001,-0.430,0.279,-0.512,192.58,0.610000
21:47:45:459,-0.003,-0.024,0.983,0.001,-0.002,-0.001,-0.430,0.279,-0.512,192.38,-0.200000
21:47:45:460,-0.003,-0.023,0.982,0.001,-0.001,-0.001,-0.435,0.281,-0.505,191.64,-0.740000
21:47:45:461,-0.003,-0.023,0.982,0.001,-0.002,-0.001,-0.433,0.278,-0.515,192.11,0.470000
21:47:45:462,-0.003,-0.024,0.983,0.001,-0.002,-0.001,-0.431,0.282,-0.516,192.35,0.240000
21:47:45:463,-0.002,-0.022,0.981,0.001,-0.001,-0.000,-0.433,0.277,-0.515,191.96,-0.390000
21:47:45:464,-0.002,-0.023,0.982,0.001,-0.002,-0.000,-0.432,0.278,-0.512,191.97,0.010000
21:47:45:465,-0.003,-0.024,0.983,0.001,-0.002,-0.000,-0.434,0.275,-0.512,192.32,0.350000
21:47:45:465,-0.002,-0.024,0.983,0.001,-0.002,-0.001,-0.434,0.275,-0.518,192.11,-0.210000
21:47:45:466,-0.003,-0.023,0.983,0.001,-0.002,-0.001,-0.430,0.282,-0.518,192.16,0.050000
21:47:45:467,-0.002,-0.022,0.982,0.001,-0.001,-0.001,-0.432,0.280,-0.521,191.70,-0.460000
21:47:45:468,-0.003,-0.023,0.982,0.001,-0.002,-0.001,-0.437,0.274,-0.516,192.20,0.500000
21:47:45:469,-0.003,-0.022,0.981,0.001,-0.001,-0.001,-0.434,0.277,-0.523,192.65,0.450000
21:47:45:470,-0.003,-0.023,0.981,0.001,-0.001,-0.001,-0.435,0.278,-0.524,191.82,-0.830000
21:47:45:471,-0.003,-0.023,0.987,0.000,-0.002,-0.001,-0.435,0.279,-0.520,191.64,-0.180000
21:47:45:471,-0.002,-0.022,0.982,0.001,-0.001,-0.001,-0.435,0.278,-0.515,192.30,0.660000
21:47:45:472,-0.002,-0.023,0.981,0.001,-0.002,-0.001,-0.437,0.278,-0.515,192.20,-0.100000
21:47:45:473,-0.003,-0.023,0.982,0.001,-0.002,-0.001,-0.437,0.277,-0.517,192.11,-0.090000
21:47:45:474,-0.002,-0.023,0.984,0.000,-0.002,-0.000,-0.435,0.278,-0.515,191.02,-1.090000
21:47:45:475,-0.003,-0.024,0.980,0.001,-0.002,-0.001,-0.431,0.276,-0.514,192.17,1.150000
21:47:45:476,-0.003,-0.024,0.982,0.001,-0.001,-0.001,-0.434,0.280,-0.515,192.06,-0.110000
21:47:45:476,-0.004,-0.024,0.982,0.001,-0.002,-0.001,-0.432,0.274,-0.510,191.60,-0.460000
21:47:45:477,-0.002,-0.023,0.984,0.000,-0.002,-0.000,-0.436,0.278,-0.513,192.05,0.450000
21:47:45:478,-0.003,-0.023,0.979,0.001,-0.001,-0.001,-0.436,0.278,-0.513,191.62,-0.430000
21:47:45:479,-0.002,-0.024,0.982,0.001,-0.002,-0.001,-0.438,0.282,-0.513,192.35,0.730000
21:47:45:479,-0.003,-0.023,0.984,0.001,-0.002,-0.001,-0.437,0.272,-0.514,192.34,-0.010000
21:47:45:480,-0.003,-0.024,0.982,0.001,-0.001,-0.000,-0.436,0.275,-0.507,191.47,-0.870000
21:47:45:481,-0.003,-0.023,0.980,0.001,-0.002,-0.001,-0.437,0.277,-0.511,192.19,0.720000
21:47:45:482,-0.003,-0.023,0.983,0.000,-0.002,-0.001,-0.434,0.281,-0.512,191.56,-0.630000
21:47:45:482,-0.002,-0.025,0.983,0.001,-0.002,-0.001,-0.434,0.278,-0.511,192.00,0.440000
21:47:45:483,-0.003,-0.022,0.981,0.001,-0.002,-0.001,-0.434,0.278,-0.511,191.73,-0.270000
21:47:45:484,-0.002,-0.024,0.982,0.001,-0.001,-0.001,-0.435,0.277,-0.512,192.13,0.400000
21:47:45:485,-0.003,-0.023,0.983,0.001,-0.002,-0.001,-0.432,0.280,-0.505,191.46,-0.670000
21:47:45:485,-0.002,-0.023,0.982,0.001,-0.001,-0.001,-0.433,0.282,-0.512,192.48,1.020000
21:47:45:486,-0.003,-0.024,0.982,0.001,-0.002,-0.001,-0.433,0.278,-0.504,191.82,-0.660000
21:47:45:487,-0.002,-0.024,0.983,0.001,-0.002,-0.001,-0.433,0.279,-0.506,192.01,0.190000
21:47:45:488,-0.003,-0.023,0.983,0.001,-0.001,-0.001,-0.434,0.273,-0.504,191.86,-0.150000
21:47:45:488,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.434,0.273,-0.504,191.94,0.080000
21:47:45:489,-0.003,-0.023,0.982,0.001,-0.002,-0.001,-0.438,0.278,-0.505,192.56,0.620000
21:47:45:490,-0.002,-0.024,0.982,0.001,-0.002,-0.001,-0.436,0.276,-0.504,192.29,-0.270000
21:47:45:491,-0.003,-0.023,0.983,0.001,-0.002,-0.001,-0.433,0.280,-0.507,192.05,-0.240000
21:47:45:491,-0.002,-0.024,0.982,0.001,-0.002,-0.000,-0.435,0.278,-0.510,192.10,0.050000
21:47:45:492,-0.003,-0.024,0.983,0.001,-0.001,-0.000,-0.433,0.280,-0.510,192.50,0.400000
21:47:45:493,-0.002,-0.024,0.983,0.001,-0.002,-0.001,-0.434,0.275,-0.510,191.88,-0.620000
21:47:45:493,-0.003,-0.024,0.982,0.001,-0.002,-0.001,-0.434,0.275,-0.510,192.27,0.390000
21:47:45:494,-0.002,-0.023,0.983,0.001,-0.002,-0.001,-0.432,0.280,-0.505,192.46,0.190000
21:47:45:495,-0.003,-0.024,0.982,0.001,-0.002,-0.001,-0.432,0.281,-0.507,191.76,-0.700000
21:47:45:496,-0.002,-0.024,0.983,0.001,-0.002,-0.001,-0.431,0.277,-0.510,191.96,0.200000
21:47:45:496,-0.003,-0.023,0.983,0.001,-0.002,-0.001,-0.434,0.280,-0.502,191.82,-0.140000
21:47:45:497,-0.002,-0.024,0.983,0.001,-0.002,-0.001,-0.432,0.276,-0.504,191.93,0.110000
21:47:45:498,-0.002,-0.024,0.982,0.001,-0.002,-0.001,-0.434,0.277,-0.502,191.76,-0.170000
21:47:45:498,-0.002,-0.024,0.982,0.000,-0.002,-0.001,-0.434,0.277,-0.502,192.08,0.320000
21:47:45:499,-0.003,-0.023,0.983,0.001,-0.002,-0.000,-0.432,0.278,-0.513,192.16,0.080000
21:47:45:500,-0.003,-0.023,0.983,0.001,-0.002,-0.001,-0.431,0.278,-0.508,192.09,-0.070000
21:47:45:500,-0.003,-0.023,0.982,0.001,-0.002,-0.001,-0.432,0.280,-0.510,192.11,0.020000
21:47:45:501,-0.003,-0.023,0.981,0.001,-0.002,-0.001,-0.433,0.278,-0.511,191.76,-0.350000
21:47:45:502,-0.002,-0.023,0.983,0.000,-0.002,-0.001,-0.436,0.284,-0.506,191.94,0.180000
21:47:45:502,-0.003,-0.024,0.988,0.001,-0.001,-0.001,-0.436,0.276,-0.507,191.75,-0.190000
21:47:45:503,-0.002,-0.023,0.980,0.001,-0.001,-0.001,-0.436,0.276,-0.507,191.58,-0.170000
21:47:45:504,-0.003,-0.023,0.980,0.001,-0.001,-0.001,-0.437,0.280,-0.511,192.36,0.780000
21:47:45:504,-0.003,-0.023,0.985,0.001,-0.002,-0.000,-0.437,0.280,-0.510,192.33,-0.030000
21:47:45:505,-0.003,-0.022,0.984,0.001,-0.001,-0.001,-0.431,0.278,-0.510,191.67,-0.660000
21:47:45:506,-0.002,-0.024,0.982,0.001,-0.002,-0.001,-0.435,0.278,-0.508,192.00,0.330000
21:47:45:506,-0.003,-0.023,0.980,0.001,-0.002,-0.001,-0.435,0.277,-0.506,191.81,-0.190000
21:47:45:507,-0.002,-0.024,0.984,0.001,-0.001,-0.001,-0.430,0.279,-0.508,191.80,-0.010000
21:47:45:508,-0.002,-0.024,0.980,0.001,-0.002,-0.001,-0.430,0.279,-0.508,191.39,-0.410000
21:47:45:508,-0.002,-0.025,0.988,0.001,-0.002,-0.001,-0.434,0.276,-0.506,191.59,0.200000
21:47:45:509,-0.002,-0.022,0.977,0.001,-0.002,-0.001,-0.435,0.279,-0.504,191.39,-0.200000
21:47:45:510,-0.003,-0.024,0.985,0.001,-0.002,-0.001,-0.433,0.279,-0.505,191.54,0.150000
21:47:45:510,-0.003,-0.023,0.982,0.001,-0.002,-0.001,-0.429,0.280,-0.506,191.54,0.000000
21:47:45:511,-0.003,-0.023,0.983,0.001,-0.002,-0.001,-0.434,0.276,-0.504,192.04,0.500000
21:47:45:512,-0.001,-0.023,0.979,0.001,-0.002,-0.001,-0.435,0.277,-0.509,191.92,-0.120000
21:47:45:512,-0.002,-0.023,0.986,0.000,-0.001,-0.001,-0.435,0.277,-0.509,192.64,0.720000
21:47:45:513,-0.003,-0.023,0.982,0.001,-0.002,-0.001,-0.433,0.278,-0.509,191.91,-0.730000
21:47:45:514,-0.003,-0.022,0.981,0.001,-0.002,-0.001,-0.431,0.277,-0.506,191.73,-0.180000
21:47:45:514,-0.003,-0.024,0.983,0.000,-0.002,-0.001,-0.435,0.282,-0.507,191.47,-0.260000
21:47:45:515,-0.002,-0.024,0.984,0.001,-0.002,-0.001,-0.434,0.280,-0.507,191.53,0.060000
21:47:45:516,-0.003,-0.023,0.981,0.001,-0.002,-0.001,-0.436,0.284,-0.502,191.61,0.080000
21:47:45:516,-0.002,-0.024,0.982,0.001,-0.002,-0.001,-0.436,0.283,-0.507,192.09,0.480000
21:47:45:517,-0.003,-0.023,0.983,0.001,-0.002,-0.000,-0.436,0.283,-0.505,192.03,-0.060000
21:47:45:518,-0.002,-0.023,0.982,0.001,-0.002,-0.000,-0.434,0.283,-0.505,192.09,0.060000
21:47:45:518,-0.003,-0.024,0.980,0.000,-0.002,-0.001,-0.436,0.284,-0.509,191.65,-0.440000
21:47:45:519,-0.002,-0.024,0.983,0.000,-0.002,-0.001,-0.432,0.283,-0.509,191.79,0.140000
21:47:45:520,-0.002,-0.024,0.984,0.000,-0.002,-0.001,-0.433,0.277,-0.506,191.63,-0.160000
21:47:45:521,-0.003,-0.024,0.983,0.001,-0.002,-0.001,-0.430,0.278,-0.501,192.24,0.610000
21:47:45:521,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.432,0.276,-0.507,191.16,-1.080000
21:47:45:522,-0.003,-0.024,0.983,0.000,-0.002,-0.001,-0.431,0.278,-0.510,191.80,0.640000
21:47:45:523,-0.003,-0.023,0.982,0.001,-0.002,-0.001,-0.431,0.278,-0.510,191.74,-0.060000
21:47:45:523,-0.001,-0.022,0.982,0.001,-0.002,0.000,-0.431,0.281,-0.501,192.12,0.380000
21:47:45:524,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.426,0.277,-0.507,192.39,0.270000
21:47:45:525,-0.002,-0.023,0.983,0.000,-0.002,-0.000,-0.430,0.279,-0.503,191.90,-0.490000
21:47:45:525,-0.003,-0.024,0.981,0.001,-0.002,-0.001,-0.435,0.278,-0.509,191.72,-0.180000
21:47:45:526,-0.002,-0.023,0.981,0.001,-0.002,-0.000,-0.430,0.278,-0.514,192.33,0.610000
21:47:45:527,-0.003,-0.023,0.984,0.001,-0.002,-0.001,-0.428,0.278,-0.512,190.93,-1.400000
21:47:45:527,-0.003,-0.024,0.982,0.001,-0.002,-0.001,-0.428,0.278,-0.512,192.01,1.080000
21:47:45:528,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.430,0.281,-0.512,191.40,-0.610000
21:47:45:529,-0.002,-0.023,0.982,0.001,-0.002,-0.000,-0.434,0.281,-0.512,192.25,0.850000
21:47:45:529,-0.003,-0.023,0.982,0.001,-0.002,-0.001,-0.431,0.281,-0.511,191.27,-0.980000
21:47:45:530,-0.003,-0.024,0.982,0.001,-0.002,-0.001,-0.426,0.278,-0.515,191.93,0.660000
21:47:45:531,-0.003,-0.023,0.983,0.000,-0.002,-0.001,-0.425,0.279,-0.508,192.22,0.290000
21:47:45:531,-0.001,-0.024,0.983,0.001,-0.002,-0.001,-0.433,0.281,-0.511,191.91,-0.310000
21:47:45:532,-0.002,-0.024,0.982,0.001,-0.001,-0.001,-0.433,0.281,-0.511,191.77,-0.140000
21:47:45:533,-0.002,-0.023,0.980,0.001,-0.002,-0.001,-0.429,0.276,-0.509,191.67,-0.100000
21:47:45:533,-0.003,-0.024,0.983,0.001,-0.002,-0.001,-0.431,0.282,-0.516,191.45,-0.220000
21:47:45:534,-0.003,-0.024,0.982,0.001,-0.002,-0.001,-0.430,0.281,-0.514,191.50,0.050000
21:47:45:535,-0.003,-0.022,0.983,0.001,-0.002,-0.001,-0.429,0.279,-0.516,192.00,0.500000
21:47:45:535,-0.003,-0.023,0.982,0.001,-0.001,-0.001,-0.429,0.282,-0.515,192.25,0.250000
21:47:45:536,-0.003,-0.023,0.982,0.001,-0.001,-0.001,-0.431,0.281,-0.517,191.65,-0.600000
21:47:45:537,-0.003,-0.023,0.982,0.001,-0.002,-0.001,-0.431,0.281,-0.517,192.08,0.430000
21:47:45:537,-0.001,-0.023,0.982,0.000,-0.002,-0.001,-0.426,0.277,-0.516,192.08,0.000000
21:47:45:538,-0.003,-0.024,0.982,0.001,-0.002,-0.001,-0.425,0.282,-0.511,192.27,0.190000
21:47:45:539,-0.003,-0.023,0.983,0.001,-0.002,-0.001,-0.429,0.284,-0.508,192.14,-0.130000
21:47:45:539,-0.003,-0.022,0.983,0.001,-0.002,-0.001,-0.428,0.278,-0.513,192.34,0.200000
21:47:45:540,-0.003,-0.023,0.983,0.001,-0.002,-0.001,-0.429,0.280,-0.510,191.94,-0.400000
21:47:45:541,-0.002,-0.024,0.981,0.000,-0.002,-0.001,-0.430,0.281,-0.509,191.78,-0.160000
21:47:45:541,-0.003,-0.023,0.981,0.000,-0.001,-0.001,-0.430,0.281,-0.509,192.01,0.230000
21:47:45:542,-0.003,-0.022,0.983,0.001,-0.002,-0.001,-0.434,0.281,-0.510,191.39,-0.620000
21:47:45:543,-0.003,-0.024,0.983,0.001,-0.002,-0.001,-0.431,0.281,-0.506,191.59,0.200000
21:47:45:543,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.431,0.281,-0.507,191.28,-0.310000
21:47:45:544,-0.002,-0.023,0.981,0.001,-0.002,-0.001,-0.430,0.279,-0.504,191.22,-0.060000
21:47:45:545,-0.002,-0.023,0.983,0.001,-0.002,-0.001,-0.429,0.277,-0.511,191.84,0.620000
21:47:45:545,-0.004,-0.024,0.982,0.001,-0.002,-0.001,-0.428,0.276,-0.506,192.45,0.610000
21:47:45:546,-0.002,-0.024,0.980,0.001,-0.002,-0.001,-0.428,0.276,-0.506,191.74,-0.710000
21:47:45:547,-0.002,-0.023,0.983,0.001,-0.002,-0.001,-0.430,0.279,-0.507,191.78,0.040000
21:47:45:547,-0.004,-0.022,0.983,0.001,-0.001,-0.001,-0.431,0.282,-0.505,191.89,0.110000
21:47:45:548,-0.001,-0.023,0.981,0.001,-0.002,-0.001,-0.429,0.286,-0.513,191.76,-0.130000
21:47:45:549,-0.003,-0.022,0.982,0.001,-0.001,-0.001,-0.432,0.283,-0.505,191.38,-0.380000
21:47:45:549,-0.002,-0.024,0.982,0.001,-0.001,-0.001,-0.431,0.282,-0.508,191.82,0.440000
21:47:45:550,-0.003,-0.024,0.982,0.001,-0.002,-0.001,-0.430,0.279,-0.503,191.72,-0.100000
21:47:45:551,-0.002,-0.023,0.981,0.001,-0.001,-0.001,-0.430,0.279,-0.503,192.10,0.380000
21:47:45:551,-0.002,-0.023,0.982,0.001,-0.001,-0.001,-0.432,0.282,-0.505,192.36,0.260000
21:47:45:552,-0.003,-0.024,0.982,0.001,-0.002,-0.001,-0.428,0.278,-0.499,191.92,-0.440000
21:47:45:553,-0.003,-0.025,0.983,0.001,-0.002,-0.001,-0.426,0.285,-0.505,192.26,0.340000
21:47:45:553,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.429,0.281,-0.502,191.68,-0.580000
21:47:45:554,-0.002,-0.024,0.981,0.001,-0.002,-0.001,-0.434,0.281,-0.508,192.25,0.570000
21:47:45:555,-0.003,-0.023,0.981,0.001,-0.001,-0.001,-0.431,0.278,-0.519,191.76,-0.490000
21:47:45:555,-0.003,-0.022,0.982,0.001,-0.001,-0.001,-0.431,0.278,-0.503,192.15,0.390000
21:47:45:556,-0.003,-0.023,0.983,0.001,-0.001,-0.000,-0.433,0.283,-0.503,191.38,-0.770000
21:47:45:557,-0.001,-0.024,0.981,0.001,-0.002,-0.000,-0.435,0.282,-0.506,191.67,0.290000
21:47:45:558,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.431,0.281,-0.507,191.56,-0.110000
21:47:45:558,-0.003,-0.024,0.983,0.001,-0.001,-0.001,-0.430,0.279,-0.509,192.58,1.020000
21:47:45:559,-0.002,-0.022,0.983,0.001,-0.002,-0.001,-0.429,0.287,-0.508,192.47,-0.110000
21:47:45:560,-0.003,-0.022,0.981,0.001,-0.002,-0.001,-0.427,0.282,-0.510,191.70,-0.770000
21:47:45:560,-0.003,-0.023,0.983,0.001,-0.002,-0.001,-0.427,0.282,-0.510,192.22,0.520000
21:47:45:561,-0.002,-0.024,0.983,0.001,-0.001,-0.001,-0.430,0.282,-0.510,191.84,-0.380000
21:47:45:562,-0.002,-0.024,0.981,0.001,-0.002,-0.001,-0.433,0.280,-0.506,191.46,-0.380000
21:47:45:562,-0.001,-0.023,0.982,0.001,-0.002,-0.001,-0.430,0.275,-0.503,191.63,0.170000
21:47:45:563,-0.001,-0.023,0.983,0.001,-0.002,-0.001,-0.431,0.282,-0.509,192.40,0.770000
21:47:45:564,-0.002,-0.023,0.983,0.001,-0.002,-0.001,-0.429,0.279,-0.510,191.60,-0.800000
21:47:45:564,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.432,0.282,-0.509,191.57,-0.030000
21:47:45:565,-0.001,-0.024,0.983,0.001,-0.002,-0.001,-0.433,0.280,-0.508,191.64,0.070000
21:47:45:566,-0.003,-0.024,0.982,0.001,-0.002,-0.001,-0.433,0.280,-0.508,192.30,0.660000
21:47:45:566,-0.003,-0.023,0.983,0.001,-0.002,-0.001,-0.436,0.282,-0.511,191.49,-0.810000
21:47:45:567,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.431,0.283,-0.514,191.73,0.240000
21:47:45:568,-0.001,-0.023,0.982,0.001,-0.001,-0.001,-0.433,0.279,-0.514,191.89,0.160000
21:47:45:568,-0.003,-0.023,0.983,0.001,-0.002,-0.001,-0.431,0.280,-0.510,191.61,-0.280000
21:47:45:569,-0.004,-0.023,0.982,0.001,-0.002,-0.001,-0.436,0.281,-0.511,191.71,0.100000
21:47:45:570,-0.003,-0.023,0.981,0.001,-0.002,-0.001,-0.428,0.278,-0.510,192.23,0.520000
21:47:45:570,-0.003,-0.022,0.983,0.001,-0.002,-0.001,-0.428,0.278,-0.510,191.60,-0.630000
21:47:45:571,-0.004,-0.023,0.981,0.000,-0.002,-0.001,-0.433,0.281,-0.510,192.59,0.990000
21:47:45:572,-0.004,-0.023,0.983,0.001,-0.001,-0.001,-0.431,0.281,-0.510,192.81,0.220000
21:47:45:572,-0.003,-0.024,0.982,0.001,-0.002,-0.001,-0.431,0.283,-0.513,191.89,-0.920000
21:47:45:573,-0.002,-0.024,0.983,0.001,-0.002,-0.001,-0.431,0.283,-0.511,191.78,-0.110000
21:47:45:574,-0.001,-0.025,0.982,0.001,-0.001,-0.001,-0.426,0.278,-0.513,191.62,-0.160000
21:47:45:574,-0.002,-0.023,0.983,0.001,-0.001,-0.001,-0.428,0.281,-0.514,192.00,0.380000
21:47:45:575,-0.002,-0.023,0.982,0.001,-0.001,-0.001,-0.428,0.281,-0.514,191.93,-0.070000
21:47:45:576,-0.003,-0.023,0.982,0.001,-0.001,-0.001,-0.427,0.282,-0.516,192.10,0.170000
21:47:45:576,-0.003,-0.023,0.983,0.001,-0.001,-0.001,-0.429,0.282,-0.507,191.95,-0.150000
21:47:45:577,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.429,0.281,-0.513,192.56,0.610000
21:47:45:578,-0.002,-0.022,0.982,0.000,-0.002,-0.000,-0.428,0.277,-0.518,192.07,-0.490000
21:47:45:578,-0.003,-0.024,0.982,0.001,-0.001,-0.001,-0.431,0.280,-0.514,191.83,-0.240000
21:47:45:579,-0.002,-0.023,0.982,0.001,-0.002,-0.001,-0.429,0.282,-0.516,191.73,-0.100000
21:47:45:580,-0.002,-0.022,0.981,0.001,-0.002,-0.001,-0.429,0.282,-0.516,191.53,-0.200000
21:47:45:580,-0.003,-0.023,0.981,0.001,-0.001,-0.001,-0.426,0.281,-0.517,191.82,0.290000
21:47:45:581,-0.003,-0.025,0.981,0.001,-0.002,-0.001,-0.425,0.279,-0.516,191.84,0.020000
21:47:45:582,-0.002,-0.024,0.982,0.001,-0.001,-0.001,-0.429,0.282,-0.513,191.56,-0.280000
