ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.02087,0.01951,0.99997,-0.00025,0.00001,0.00044,-0.27028,-0.14013,-0.15708,982.27000,27.43000,291.29000
-0.01987,0.02050,0.99999,-0.00025,0.00001,-0.00056,-0.27028,-0.14013,-0.15708,982.20000,27.43000,291.88000
-0.02188,0.02052,1.00002,-0.00025,0.00001,-0.00056,-0.27328,-0.14313,-0.15608,982.19000,27.43000,291.94000
-0.02187,0.01952,0.99999,-0.00025,0.00001,-0.00056,-0.26928,-0.14113,-0.15808,982.25000,27.43000,291.42000
-0.01985,0.01946,0.99896,0.00075,0.00001,-0.00056,-0.27028,-0.14613,-0.15808,982.12000,27.43000,292.53000
-0.01985,0.01946,0.99896,0.00075,0.00001,-0.00056,-0.26628,-0.14113,-0.15508,982.19000,27.43000,291.95000
-0.02088,0.02051,1.00001,-0.00025,0.00001,-0.00056,-0.27028,-0.14413,-0.15708,982.31000,27.43000,290.92000
-0.01986,0.01949,0.99996,0.00075,0.00001,-0.00056,-0.26828,-0.14413,-0.16008,982.31000,27.43000,290.98000
-0.01985,0.01946,0.99896,-0.00025,0.00001,-0.00056,-0.26828,-0.14413,-0.16008,982.22000,27.43000,291.72000
-0.02082,0.01844,0.99794,-0.00025,0.00001,0.00044,-0.27128,-0.14413,-0.15508,982.14000,27.42000,292.38000
-0.02284,0.01849,0.99897,-0.00025,0.00001,-0.00056,-0.26728,-0.13913,-0.15508,982.26000,27.43000,291.40000
-0.01986,0.02047,0.99899,-0.00025,0.00001,-0.00056,-0.26628,-0.14213,-0.15008,982.28000,27.43000,291.15000
-0.02186,0.02049,0.99902,-0.00025,0.00001,-0.00056,-0.26728,-0.14113,-0.15208,982.23000,27.43000,291.63000
-0.02187,0.01952,0.99999,0.00075,0.00001,0.00044,-0.26928,-0.14313,-0.15608,982.24000,27.43000,291.57000
-0.02087,0.01951,0.99997,0.00075,0.00001,-0.00056,-0.26828,-0.14013,-0.15508,982.23000,27.43000,291.60000
-0.02187,0.01952,0.99999,0.00075,0.00001,-0.00056,-0.26828,-0.14013,-0.15508,982.26000,27.43000,291.40000
-0.02085,0.01947,0.99897,-0.00025,0.00001,-0.00056,-0.26628,-0.13913,-0.15508,982.21000,27.43000,291.80000
-0.02085,0.01947,0.99897,-0.00025,0.00001,-0.00056,-0.26728,-0.13813,-0.16108,982.25000,27.43000,291.42000
-0.02083,0.01944,0.99797,-0.00025,0.00001,-0.00056,-0.26928,-0.13813,-0.16208,982.24000,27.43000,291.50000
-0.02087,0.01951,0.99997,-0.00025,0.00001,0.00044,-0.26528,-0.14013,-0.15908,982.19000,27.43000,291.96000
-0.02082,0.01844,0.99794,-0.00025,0.00001,-0.00056,-0.26828,-0.14113,-0.15708,982.32000,27.43000,290.83000
-0.02085,0.01947,0.99897,-0.00025,0.00001,0.00044,-0.27028,-0.14413,-0.16008,982.22000,27.43000,291.69000
