timestamp_iso,t_sec,ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
2025-11-03T07:01:52.991849,0.944,-0.028,-0.042,1.002,0.001,-0.002,0.0,-897.82,156.38,-919.1,995.6,25.11,178.16
2025-11-03T07:01:52.992504,0.945,-0.028,-0.043,1.002,0.001,-0.002,0.0,-902.44,160.3,-918.96,995.57,25.1,178.42
2025-11-03T07:01:52.993122,0.946,-0.029,-0.043,1.004,0.001,-0.002,0.0,-899.08,158.48,-914.48,995.58,25.1,178.36
2025-11-03T07:01:52.993748,0.946,-0.028,-0.044,1.002,0.001,-0.002,0.0,-900.76,157.64,-913.36,995.57,25.11,178.43
2025-11-03T07:01:52.994387,0.947,-0.028,-0.044,1.001,0.001,-0.002,0.001,-900.76,157.64,-913.36,995.65,25.1,177.79
2025-11-03T07:01:52.995024,0.947,-0.028,-0.044,1.002,0.001,-0.002,0.0,-897.12,158.48,-916.02,995.59,25.1,178.31
2025-11-03T07:01:52.995650,0.948,-0.027,-0.043,1.001,0.001,-0.002,0.0,-901.46,161.0,-918.4,995.57,25.11,178.45
2025-11-03T07:01:52.996274,0.949,-0.028,-0.042,1.002,0.002,-0.002,0.0,-899.22,163.94,-914.76,995.55,25.1,178.58
2025-11-03T07:01:52.996900,0.949,-0.028,-0.042,1.003,0.002,-0.002,0.001,-898.24,159.46,-912.66,995.56,25.1,178.49
2025-11-03T07:01:52.997527,0.950,-0.028,-0.044,1.003,0.001,-0.002,0.001,-898.94,160.86,-913.92,995.64,25.1,177.82
2025-11-03T07:01:52.998166,0.951,-0.029,-0.042,1.002,0.002,-0.002,0.001,-901.46,160.44,-911.96,995.64,25.11,177.87
2025-11-03T07:01:52.998816,0.951,-0.028,-0.042,1.003,0.001,-0.002,0.0,-901.46,160.44,-911.96,995.61,25.1,178.12
2025-11-03T07:01:52.999480,0.952,-0.03,-0.043,1.002,0.001,-0.002,0.0,-901.46,157.92,-907.76,995.56,25.11,178.53
2025-11-03T07:01:53.000097,0.952,-0.029,-0.043,1.003,0.001,-0.002,0.0,-901.18,161.28,-909.02,995.62,25.11,178.01
2025-11-03T07:01:53.000755,0.953,-0.028,-0.042,1.002,0.001,-0.002,0.0,-901.18,160.16,-907.2,995.55,25.1,178.65
2025-11-03T07:01:53.001378,0.954,-0.029,-0.041,1.003,0.001,-0.002,0.001,-902.58,161.14,-907.34,995.62,25.1,178.03
2025-11-03T07:01:53.002015,0.954,-0.028,-0.043,1.003,0.001,-0.002,0.001,-904.12,162.96,-909.86,995.6,25.11,178.17
2025-11-03T07:01:53.002638,0.955,-0.029,-0.043,1.004,0.001,-0.002,0.0,-898.8,157.5,-911.54,995.55,25.11,178.62
2025-11-03T07:01:53.003252,0.956,-0.029,-0.043,1.001,0.002,-0.002,0.0,-898.8,157.5,-911.54,995.54,25.1,178.7
2025-11-03T07:01:53.003909,0.956,-0.028,-0.043,1.002,0.002,-0.002,0.0,-901.32,159.32,-908.6,995.6,25.1,178.17
2025-11-03T07:01:53.004532,0.957,-0.03,-0.043,1.003,0.001,-0.001,0.001,-900.34,161.98,-908.6,995.52,25.11,178.82
2025-11-03T07:01:53.005162,0.958,-0.029,-0.042,1.002,0.001,-0.002,0.0,-905.52,158.76,-915.32,995.68,25.11,177.5
