mx,my,mz
-0.253,0.61,-0.855
-0.265,0.598,-0.864
-0.265,0.598,-0.864
-0.288,0.581,-0.871
-0.31,0.561,-0.88
-0.323,0.543,-0.885
-0.341,0.529,-0.886
-0.341,0.529,-0.886
-0.368,0.513,-0.881
-0.393,0.49,-0.885
-0.42,0.467,-0.878
-0.444,0.446,-0.879
-0.444,0.446,-0.879
-0.466,0.422,-0.881
-0.484,0.406,-0.866
-0.499,0.394,-0.865
-0.524,0.389,-0.859
-0.524,0.389,-0.859
-0.545,0.376,-0.844
-0.568,0.366,-0.829
-0.589,0.346,-0.814
-0.612,0.331,-0.794
-0.612,0.331,-0.794
-0.631,0.308,-0.787
-0.642,0.288,-0.769
-0.662,0.279,-0.743
-0.677,0.267,-0.718
-0.677,0.267,-0.718
-0.686,0.253,-0.694
-0.702,0.241,-0.673
-0.706,0.226,-0.648
-0.712,0.208,-0.624
-0.712,0.208,-0.624
-0.712,0.195,-0.604
-0.707,0.169,-0.58
-0.7,0.148,-0.562
-0.694,0.129,-0.544
-0.694,0.129,-0.544
-0.675,0.104,-0.524
-0.655,0.089,-0.516
-0.637,0.061,-0.501
-0.601,0.04,-0.506
-0.601,0.04,-0.506
-0.568,0.021,-0.504
-0.533,0.001,-0.508
-0.489,-0.009,-0.497
-0.464,-0.017,-0.494
-0.464,-0.017,-0.494
-0.424,-0.033,-0.494
-0.397,-0.03,-0.479
-0.375,-0.039,-0.464
-0.345,-0.035,-0.459
-0.345,-0.035,-0.459
-0.313,-0.032,-0.462
-0.285,-0.035,-0.452
-0.245,-0.026,-0.452
-0.207,-0.013,-0.447
-0.207,-0.013,-0.447
-0.168,0.001,-0.434
-0.136,0.013,-0.423
-0.099,0.025,-0.417
-0.064,0.05,-0.414
-0.064,0.05,-0.414
-0.038,0.068,-0.43
-0.014,0.081,-0.44
0.016,0.104,-0.446
0.045,0.129,-0.451
0.045,0.129,-0.451
0.088,0.152,-0.467
0.107,0.188,-0.485
0.135,0.223,-0.502
0.152,0.256,-0.527
0.152,0.256,-0.527
0.16,0.29,-0.564
0.17,0.319,-0.594
0.167,0.347,-0.625
0.164,0.368,-0.654
0.164,0.368,-0.654
0.162,0.385,-0.673
0.159,0.397,-0.697
0.155,0.413,-0.72
0.155,0.423,-0.737
0.155,0.423,-0.737
0.155,0.434,-0.756
0.152,0.447,-0.768
0.147,0.454,-0.788
0.136,0.451,-0.801
0.136,0.451,-0.801
0.126,0.446,-0.815
0.132,0.439,-0.817
0.143,0.433,-0.807
0.158,0.433,-0.8
0.158,0.433,-0.8
0.167,0.435,-0.794
0.17,0.436,-0.8
0.166,0.45,-0.8
0.169,0.456,-0.803
0.169,0.456,-0.803
0.166,0.456,-0.805
0.157,0.457,-0.822
0.143,0.462,-0.826
0.135,0.476,-0.838
0.135,0.476,-0.838
0.125,0.488,-0.844
0.122,0.507,-0.841
0.116,0.524,-0.838
0.097,0.54,-0.854
0.097,0.54,-0.854
0.071,0.556,-0.871
0.048,0.574,-0.881
0.012,0.599,-0.887
-0.023,0.635,-0.895
-0.023,0.635,-0.895
-0.052,0.668,-0.894
-0.092,0.693,-0.9
-0.131,0.714,-0.897
