ax,ay,az
-0.986,-0.035,-0.027
-0.985,-0.035,-0.027
-0.985,-0.035,-0.027
-0.982,-0.035,-0.026
-0.984,-0.034,-0.025
-0.985,-0.034,-0.026
-0.985,-0.033,-0.027
-0.985,-0.034,-0.028
-0.984,-0.034,-0.026
-0.985,-0.035,-0.027
-0.984,-0.034,-0.026
-0.985,-0.034,-0.026
-0.986,-0.034,-0.026
-0.986,-0.034,-0.027
-0.984,-0.034,-0.026
-0.984,-0.035,-0.027
-0.985,-0.034,-0.026
-0.986,-0.034,-0.027
-0.986,-0.034,-0.027
-0.985,-0.034,-0.026
-0.986,-0.034,-0.026
-0.984,-0.034,-0.026
-0.985,-0.034,-0.026
-0.984,-0.033,-0.027
-0.984,-0.035,-0.027
-0.984,-0.033,-0.026
-0.985,-0.035,-0.026
-0.986,-0.034,-0.026
-0.986,-0.033,-0.025
-0.986,-0.033,-0.025
-0.985,-0.034,-0.027
-0.984,-0.035,-0.026
-0.985,-0.035,-0.027
-0.984,-0.035,-0.026
-0.986,-0.034,-0.026
-0.986,-0.034,-0.025
-0.984,-0.033,-0.027
-0.985,-0.035,-0.026
-0.986,-0.034,-0.028
-0.984,-0.035,-0.025
-0.984,-0.035,-0.026
-0.982,-0.034,-0.025
-0.985,-0.034,-0.026
-0.986,-0.033,-0.025
-0.985,-0.032,-0.026
-0.985,-0.034,-0.026
-0.985,-0.035,-0.027
-0.985,-0.034,-0.027
-0.984,-0.034,-0.027
-0.986,-0.034,-0.027
-0.985,-0.034,-0.026
-0.985,-0.034,-0.026
-0.985,-0.033,-0.026
-0.984,-0.034,-0.027
-0.985,-0.034,-0.026
-0.985,-0.034,-0.026
-0.983,-0.034,-0.026
-0.986,-0.035,-0.026
-0.989,-0.034,-0.026
-0.987,-0.033,-0.026
-0.983,-0.034,-0.027
-0.984,-0.034,-0.026
-0.985,-0.034,-0.026
-0.981,-0.034,-0.025
-0.983,-0.034,-0.026
-0.986,-0.034,-0.026
-0.989,-0.035,-0.027
-0.985,-0.033,-0.026
-0.984,-0.035,-0.025
-0.985,-0.033,-0.025
-0.985,-0.033,-0.027
-0.984,-0.034,-0.026
-0.985,-0.035,-0.027
-0.986,-0.035,-0.027
-0.985,-0.034,-0.026
-0.984,-0.033,-0.026
-0.987,-0.035,-0.025
-0.985,-0.034,-0.025
-0.984,-0.033,-0.026
-0.985,-0.033,-0.026
-0.986,-0.034,-0.026
-0.985,-0.034,-0.027
1.009,-0.006,0.054
0.997,-0.005,0.053
1.085,-0.006,0.064
1.041,-0.005,0.056
0.956,-0.006,0.054
1.008,-0.005,0.056
1.007,-0.004,0.055
1.042,-0.005,0.061
0.986,-0.005,0.052
1.015,-0.007,0.052
1.017,-0.005,0.057
1.024,-0.008,0.059
0.987,-0.006,0.052
1.008,-0.005,0.058
1.011,-0.005,0.058
1.005,-0.006,0.055
1.001,-0.006,0.054
1.014,-0.007,0.057
1.01,-0.006,0.056
1.004,-0.007,0.054
1.007,-0.005,0.057
1.014,-0.005,0.058
1.006,-0.006,0.055
1.004,-0.005,0.055
1.01,-0.005,0.055
1.01,-0.005,0.054
1.003,-0.006,0.054
1.007,-0.006,0.056
1.011,-0.006,0.058
1.013,-0.005,0.057
1.007,-0.005,0.054
1.01,-0.005,0.057
1.011,-0.006,0.056
1.008,-0.006,0.055
1.004,-0.006,0.055
1.009,-0.005,0.056
1.011,-0.006,0.057
1.007,-0.005,0.056
1.008,-0.005,0.056
1.011,-0.005,0.056
1.009,-0.005,0.057
1.008,-0.005,0.056
1.008,-0.005,0.055
1.01,-0.006,0.055
1.009,-0.005,0.056
